Entry date,Fundamentals,Level,Minervini,RS,Risk %,Symbol,Universe,VCP,Yahoo,annual_earnings_growth_pct,annual_revenue_growth_pct,atr20_end_pct,atr20_start_pct,chart,csv,current_return_pct,debt_to_equity,download_status,earnings_growth_info,entry_actual_date,entry_close,entry_trend_template,forward_pe,fundamental_checks,fundamental_score,latest_close,latest_date,latest_trend_template,market_cap,max_drawdown_pct,max_gain_pct,pattern_notes,pattern_quality,pattern_quality_score,pivot_extension_pct,pre_entry_first_depth_pct,pre_entry_second_depth_pct,profit_margins,quarterly_earnings_growth_pct,quarterly_revenue_growth_pct,return_on_equity,revenue_growth_info,trailing_pe,volume_dryup
2026-05-01,PASS,L3,7/7,91,26.26,APARINDS,midsmallcap400,2/3,APARINDS.NS,-0.461756614269615,15.25270876246092,4.81,3.63,assets/market_charts/APARINDS_entry_progress.png,data/APARINDS_ohlcv.csv,2.59,14.499,OK,0.192,2026-05-01,12331.0,7/7,44.229,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'profit margin positive']",4,12650.0,2026-05-15,7/7,508129181696,-1.75,5.62,120-session pre-entry depth split: 38.9% then 73.8%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was -4.0% from the 60-session pre-entry pivot.,loose-or-extended,1,-4.04,38.94,73.77,0.04526,8.041162478022557,18.11740277717697,,0.162,52.357105,False
2026-05-01,PASS,L3,7/7,82,14.89,EMCURE,"midsmallcap400,smallcap250",1/3,EMCURE.NS,35.66968819899843,16.559568095073995,4.2,3.19,assets/market_charts/EMCURE_entry_progress.png,data/EMCURE_ohlcv.csv,-4.92,30.567,OK,0.288,2026-05-04,1793.2,7/7,22.8878,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive', 'ROE positive']",6,1704.9,2026-05-15,7/7,323231219712,-9.25,2.05,120-session pre-entry depth split: 21.4% then 28.1%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was 1.4% from the 60-session pre-entry pivot.,loose-or-extended,1,1.37,21.36,28.1,0.100439996,28.813962965119046,21.749069148477297,0.19573,0.167,34.965137,False
2026-04-24,PASS,L3,7/7,78,15.68,GLENMARK,midsmallcap400,1/3,GLENMARK.NS,-155.13950529648298,12.98084063056919,3.43,2.21,assets/market_charts/GLENMARK_entry_progress.png,data/GLENMARK_ohlcv.csv,1.15,12.776,OK,0.158,2026-04-24,2299.5,6/7,29.053074,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'profit margin positive']",4,2325.9,2026-05-15,7/7,656370827264,-2.41,7.59,120-session pre-entry depth split: 19.8% then 28.1%. ATR20% did not clearly contract into entry. Volume dried up near the final window. Entry was -2.5% from the 60-session pre-entry pivot.,borderline,2,-2.54,19.8,28.09,0.06451,15.878457992539419,17.750213210317444,,0.151,61.727703,True
2026-05-08,PASS,L3,7/7,99,31.44,NETWEB,"midsmallcap400,smallcap250",0/3,NETWEB.NS,80.9355522149256,90.03682265163127,4.34,5.74,assets/market_charts/NETWEB_entry_progress.png,data/NETWEB_ohlcv.csv,-13.15,39.019,OK,0.643,2026-05-08,4422.2,7/7,50.137077,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive', 'ROE positive']",6,3840.5,2026-05-15,7/7,218680705024,-14.64,1.58,120-session pre-entry depth split: 28.5% then 47.6%. ATR20% contracted into entry. Volume did not dry up near the final window. Entry was -0.6% from the 60-session pre-entry pivot.,borderline,2,-0.62,28.53,47.6,0.09426,65.66071386666042,86.591133266289,0.32834998,0.866,105.27686,False
2026-04-24,PASS,L2,7/7,100,31.81,AXISCADES,microcap250,1/3,AXISCADES.NS,128.41153628100636,8.094306895002902,5.01,4.85,assets/market_charts/AXISCADES_entry_progress.png,data/AXISCADES_ohlcv.csv,6.11,37.084,OK,0.887,2026-04-24,1939.8,7/7,,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive']",5,2058.3,2026-05-15,7/7,87541530624,-4.29,13.98,120-session pre-entry depth split: 48.3% then 90.2%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was -4.1% from the 60-session pre-entry pivot.,loose-or-extended,1,-4.07,48.32,90.17,0.08861,87.20130181430241,25.006693303891293,,0.252,86.193474,False
2026-05-08,PASS,L2,7/7,95,28.68,POWERINDIA,midsmallcap400,1/3,POWERINDIA.NS,134.4486506288924,22.135815260476765,3.33,3.28,assets/market_charts/POWERINDIA_entry_progress.png,data/POWERINDIA_ohlcv.csv,-4.32,1.843,OK,0.81,2026-05-08,34005.0,7/7,103.630455,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive']",5,32535.0,2026-05-15,7/7,1450161864704,-8.26,3.21,120-session pre-entry depth split: 41.8% then 70.0%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was -2.7% from the 60-session pre-entry pivot.,loose-or-extended,1,-2.7,41.77,70.02,0.11545999,399.94262765347105,34.07202032328887,,0.3,169.48843,False
2026-05-08,PASS,L2,7/7,89,29.79,SYRMA,"midsmallcap400,smallcap250",1/3,SYRMA.NS,58.272771317829466,18.71164262450624,3.74,4.1,assets/market_charts/SYRMA_entry_progress.png,data/SYRMA_ohlcv.csv,-7.9,13.045,OK,0.437,2026-05-08,1100.15,7/7,35.106255,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive', 'ROE positive']",6,1013.25,2026-05-15,7/7,195177250816,-10.28,7.99,120-session pre-entry depth split: 43.4% then 57.7%. ATR20% contracted into entry. Volume did not dry up near the final window. Entry was -0.4% from the 60-session pre-entry pivot.,borderline,2,-0.38,43.4,57.74,0.06594,110.65294913309015,45.35850375647639,0.14142999,0.584,59.88475,False
2026-05-08,PASS,L2,7/7,93,35.33,SCI,"midsmallcap400,smallcap250",1/3,SCI.NS,24.244075585077397,11.043676296994054,4.91,5.03,assets/market_charts/SCI_entry_progress.png,data/SCI_ohlcv.csv,-2.26,29.454,OK,1.189,2026-05-08,339.05,7/7,100.42424,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive']",5,331.4,2026-05-15,7/7,154365788160,-6.16,8.76,120-session pre-entry depth split: 40.6% then 51.1%. ATR20% contracted into entry. Volume did not dry up near the final window. Entry was 3.1% from the 60-session pre-entry pivot.,borderline,2,3.12,40.58,51.14,0.01102,436.24205508474574,22.50456065673456,,0.142,11.403992,False
2026-05-08,PASS,L2,7/7,76,27.82,NAM-INDIA,midsmallcap400,1/3,NAM-INDIA.NS,18.88929484837414,21.430588741600133,4.07,3.2,assets/market_charts/NAM-INDIA_entry_progress.png,data/NAM-INDIA_ohlcv.csv,-0.25,1.617,OK,0.273,2026-05-08,1103.4,7/7,33.51824,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive', 'ROE positive']",6,1100.6,2026-05-15,7/7,702501355520,-6.74,1.31,120-session pre-entry depth split: 26.8% then 39.5%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was -0.7% from the 60-session pre-entry pivot.,loose-or-extended,1,-0.68,26.79,39.51,0.52143,30.254604550379206,25.657861164503572,0.34476003,0.196,46.517326,False
2026-05-08,PASS,L2,7/7,83,42.13,BHEL,midsmallcap400,1/3,BHEL.NS,199.73028657051884,19.20536297772577,3.86,2.88,assets/market_charts/BHEL_entry_progress.png,data/BHEL_ohlcv.csv,-1.56,31.312,OK,1.564,2026-05-08,404.6,7/7,31.130175,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive', 'ROE positive']",6,398.3,2026-05-15,7/7,1386905731072,-3.47,3.29,120-session pre-entry depth split: 27.2% then 70.7%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was -0.9% from the 60-session pre-entry pivot.,loose-or-extended,1,-0.92,27.19,70.74,0.04737,858.0326651818856,69.16610898037541,0.06292,0.369,86.965065,False
2026-04-24,PASS,L1,7/7,92,24.76,GOKULAGRO,microcap250,2/3,GOKULAGRO.NS,80.89298788617157,41.62745609043017,5.22,4.55,assets/market_charts/GOKULAGRO_entry_progress.png,data/GOKULAGRO_ohlcv.csv,5.95,41.405,OK,1.45,2026-04-24,226.55,6/7,,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive', 'ROE positive']",6,240.04,2026-05-15,7/7,70832611328,-1.92,10.32,120-session pre-entry depth split: 44.5% then 62.9%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was -7.9% from the 60-session pre-entry pivot.,loose-or-extended,1,-7.91,44.49,62.91,0.01534,7.347655178214185,26.583443048590084,0.30102,0.138,23.695951,False
2026-05-08,PASS,L2,7/7,72,35.37,AVALON,microcap250,0/3,AVALON.NS,126.68929783812759,26.67441107797581,4.87,4.67,assets/market_charts/AVALON_entry_progress.png,data/AVALON_ohlcv.csv,-4.61,25.091,OK,0.358,2026-05-08,1387.0,7/7,40.918293,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive']",5,1323.1,2026-05-15,7/7,88366800896,-10.99,2.94,120-session pre-entry depth split: 37.7% then 52.5%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was 6.2% from the 60-session pre-entry pivot.,loose-or-extended,1,6.19,37.68,52.51,0.06553,35.903955979824076,48.67029136446015,,0.487,78.75595,False
2026-04-24,PASS,L1,7/7,85,17.89,STAR,microcap250,0/3,STAR.NS,-437.21673155635426,17.738737804029636,3.48,3.91,assets/market_charts/STAR_entry_progress.png,data/STAR_ohlcv.csv,8.2,65.787,OK,1.295,2026-04-24,1066.25,7/7,15.902135,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'profit margin positive']",4,1153.7,2026-05-15,7/7,106339655680,-4.61,15.45,120-session pre-entry depth split: 27.5% then 40.6%. ATR20% contracted into entry. Volume dried up near the final window. Entry was -1.4% from the 60-session pre-entry pivot.,constructive,3,-1.36,27.49,40.62,0.10823,181.31759531199978,2.3747701241029873,,0.036,20.791132,True
2026-05-08,PASS,L1,7/7,86,27.29,CRAFTSMAN,"midsmallcap400,smallcap250",0/3,CRAFTSMAN.NS,97.35313768823559,41.80297619884439,3.2,3.06,assets/market_charts/CRAFTSMAN_entry_progress.png,data/CRAFTSMAN_ohlcv.csv,-5.78,109.273,OK,7.284,2026-05-08,8981.5,7/7,26.811882,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive']",5,8462.5,2026-05-15,7/7,201877880832,-7.37,8.42,120-session pre-entry depth split: 25.9% then 36.1%. ATR20% did not clearly contract into entry. Volume dried up near the final window. Entry was 2.3% from the 60-session pre-entry pivot.,borderline,2,2.29,25.88,36.09,0.04404,74.3858597962852,27.27740460197228,,0.305,52.630764,True
2026-05-01,PASS,L1,7/7,75,19.98,RRKABEL,"midsmallcap400,smallcap250",0/3,RRKABEL.NS,57.959475114806594,27.619603228459976,3.54,3.44,assets/market_charts/RRKABEL_entry_progress.png,data/RRKABEL_ohlcv.csv,10.06,13.092,OK,0.322,2026-05-04,1775.2,7/7,29.374166,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive', 'ROE positive']",6,1953.8,2026-05-15,7/7,220985540608,-9.74,15.42,120-session pre-entry depth split: 19.9% then 28.6%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was 7.7% from the 60-session pre-entry pivot.,loose-or-extended,1,7.72,19.88,28.62,0.05034,144.92072033447226,66.32373663813243,0.20826,0.342,44.842785,False
2026-05-08,PASS,L1,7/7,70,34.38,GRWRHITECH,microcap250,0/3,GRWRHITECH.NS,2.1164180906950048,0.509633253688313,4.76,4.66,assets/market_charts/GRWRHITECH_entry_progress.png,data/GRWRHITECH_ohlcv.csv,2.14,0.59,OK,0.391,2026-05-08,5290.3,7/7,29.656422,"['quarterly revenue growth positive', 'quarterly earnings growth positive', 'annual revenue growth positive', 'annual earnings growth positive', 'profit margin positive', 'ROE positive']",6,5403.4,2026-05-15,7/7,125533913088,-7.94,3.96,120-session pre-entry depth split: 66.8% then 71.6%. ATR20% did not clearly contract into entry. Volume did not dry up near the final window. Entry was -4.9% from the 60-session pre-entry pivot.,loose-or-extended,1,-4.85,66.83,71.55,0.1548,39.08740359897172,8.896959521115445,0.13454,0.128,37.17509,False
